Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
4287/004,1850 CESAR CHAVEZ ST,1850 CESAR CHAVEZ ST,94107,10640,N/A,,http://propertymap.sfplanning.org/?&search=4287/004,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1850 CESAR CHAVEZ ST,,San Francisco,,,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0690/001A,1233 VAN NESS AVE,1233 VAN NESS AVE,94109,18710,Medical Office,,http://propertymap.sfplanning.org/?&search=0690/001A,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,1233 VAN NESS AVE,,San Francisco,POINT (-122.421761 37.787165),,,CA,94109,,,,,,,,,,,,,,,,,54.1,117,-5,-5,69.1,3.7,54.2,117,,53.2,115.9,-5.9,-5.9,68.1,3.6,53.3,114.9
3756/002,312 8th Street,330 8TH ST,94103,44000,Automobile Dealership,,http://propertymap.sfplanning.org/?&search=3756/002,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/14,Complied,330 8TH ST,,San Francisco,POINT (-122.409666 37.77465),,,CA,94103,,,,,,,,9.4,26.1,-78.9,-78.8,16.9,0.8,9.3,25.9,,9.2,24.3,-80.3,-80.3,16.1,0.7,8.8,23.9,,8.6,24.1,-80.5,-80.5,14.5,0.7,8.4,23.5
3706/074,Westin San Francisco Market Street,50 3RD ST,94103,525313,N/A,,http://propertymap.sfplanning.org/?&search=3706/074,Complied,Complied,Complied,Complied,Violation - Did Not Report,4/1/14,Complied,50 3RD ST,88,San Francisco,POINT (-122.402736 37.786836),50.1,137.3,CA,94103,-36.3,-36.3,2138.4,4.1,50.5,137.7,87,50,137.6,-35.6,-35.6,2138.4,4.1,50.7,139.2,90,47.3,131.3,-38.6,-38.5,2033.5,3.9,47.5,131.5,,,,,,,,,
0239/030,343 Sansome,343 Sansome St,94104,316366,Office,,http://propertymap.sfplanning.org/?&search=0239/030,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,Complied,4/1/14,Exempt - LEED EBOM,343 Sansome St,,San Francisco,POINT (-122.401264 37.793616),,,CA,94104,,,,,,,91,46.6,146.3,-45.6,-45.6,1033.6,3.8,46.6,146.3,90,47.5,149.1,-44.5,-44.5,1053.3,3.9,47.5,149.1,94,39.2,123,-51.9,-51.9,869.1,3.2,39.2,123
3704/035,444 Jessie Street,439 STEVENSON ST,94103,21190,Bar/Nightclub,,http://propertymap.sfplanning.org/?&search=3704/035,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,439 STEVENSON ST,,San Francisco,POINT (-122.408396 37.782796),,,CA,94103,,,,,,,,,,,,,,,,,24.3,73.6,-13.5,-13.5,44.3,2.1,24.6,75,,25.3,79.1,-7,-7,43.6,2.1,24.1,75.6
1070/003,2700 Geary Blvd,2700 GEARY BLVD,94118,17546,Office,,http://propertymap.sfplanning.org/?&search=1070/003,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,2700 GEARY BLVD,,San Francisco,POINT (-122.448349 37.782439),,,CA,94118,,,,,,,,,,,,,,,,,33.2,93.8,-36.7,-36.7,45,2.6,32.5,93,,14.8,38.1,-74.3,-74.3,19.1,1.1,15.7,39
0287/014,300 Grant,290 SUTTER ST,94108,32162,N/A,,http://propertymap.sfplanning.org/?&search=0287/014,N/A,Violation - Insufficient Data,Exempt,Exempt,Exempt,4/1/14,Upcoming,290 SUTTER ST,,San Francisco,POINT (-122.405204 37.789656),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900/048,Pier 48 - Shed A,48 Pier - Shed A,94158,83852,Other,,http://propertymap.sfplanning.org/?&search=9900/048,N/A,Complied,Complied,Complied,Complied,4/1/99,Municipal,48 Pier,,San Francisco,,2.3,7.1,CA,94158,-94.1,-94.2,16.7,0.2,2.3,7.1,,3.9,12.1,-90.1,-90.2,28.5,0.3,3.9,12.1,,3.3,10.3,-91.6,-91.6,24.2,0.3,3.3,10.3,,4.2,13.2,-89.3,-89.3,28.7,0.3,4.2,13.2
0526/021,Davinci villa,2550 VAN NESS AVE,94109,56598,Hotel,,http://propertymap.sfplanning.org/?&search=0526/021,N/A,Complied,Complied,Complied,Complied,4/1/16,Upcoming,2550 VAN NESS AVE,95,San Francisco,POINT (-122.424053 37.799193),36,,CA,94109,-47.7,,146.57,,38.7,,84,30.5,95.6,-32.1,,151.5,,30.5,95.6,40,84.8,149.9,9.3,9.3,312.1,5.5,84.8,149.9,14,116.7,187.5,42.8,42.8,400.8,7.1,116.7,187.5
